Model,Experiment,Accuracy,Precision,Recall,F1,AUC-ROC,AUC-PR,Brier,Brier (Platt),Brier (Isotonic),t*,F1 @ t*,Recall @ t*,Precision @ t*
LR — Baseline,Exp-0 Baseline,0.9521,1.0000,0.0200,0.0392,0.8428,0.2627,0.0410,0.0422,0.0419,0.1100,0.3400,0.6800,0.2267
GNB — Baseline,Exp-0 Baseline,0.3112,0.0652,0.9800,0.1222,0.7859,0.1550,0.6745,0.0456,0.0446,0.9800,0.1315,0.9800,0.0705
KNN-5 — Baseline,Exp-0 Baseline,0.9491,0.0000,0.0000,0.0000,0.5912,0.0654,0.0528,0.0481,0.0464,0.0100,0.1574,0.3400,0.1024
SVM — Baseline,Exp-0 Baseline,0.9511,0.0000,0.0000,0.0000,0.6777,0.1138,0.0458,0.0471,0.0469,0.0650,0.1818,0.2200,0.1549
RF — Baseline,Exp-0 Baseline,0.9511,0.5000,0.0400,0.0741,0.7857,0.1591,0.0450,0.0456,0.0455,0.0900,0.2510,0.6000,0.1587
XGB — Baseline,Exp-0 Baseline,0.9384,0.1176,0.0400,0.0597,0.7868,0.1463,0.0521,0.0449,0.0443,0.0300,0.2743,0.4800,0.1920
LR — ClassWeight,Exp-1 ClassWeight,0.7583,0.1444,0.8000,0.2446,0.8428,0.2608,0.1599,0.0412,0.0421,0.8250,0.3443,0.4200,0.2917
SVM — ClassWeight,Exp-1 ClassWeight,0.7838,0.1423,0.6800,0.2353,0.8086,0.1768,0.0434,0.0447,0.0442,0.1250,0.2699,0.4400,0.1947
RF — ClassWeight,Exp-1 ClassWeight,0.9501,0.0000,0.0000,0.0000,0.7818,0.1542,0.0452,0.0461,0.0456,0.0500,0.2364,0.7800,0.1393
XGB — ClassWeight,Exp-1 ClassWeight,0.9335,0.1786,0.1000,0.1282,0.7806,0.1695,0.0573,0.0448,0.0451,0.1800,0.2857,0.3200,0.2581
LR — SMOTE,Exp-2 SMOTE,0.7573,0.1413,0.7800,0.2393,0.8445,0.2665,0.1604,0.0411,0.0423,0.8100,0.3444,0.5200,0.2574
GNB — SMOTE,Exp-2 SMOTE,0.3337,0.0672,0.9800,0.1258,0.7887,0.1600,0.6599,0.0456,0.0443,0.9850,0.1315,0.9800,0.0705
SVM — SMOTE,Exp-2 SMOTE,0.8337,0.1386,0.4600,0.2130,0.7836,0.1666,0.1007,0.0441,0.0447,0.5100,0.2299,0.4000,0.1613
RF — SMOTE,Exp-2 SMOTE,0.9325,0.1481,0.0800,0.1039,0.7774,0.1274,0.0565,0.0457,0.0445,0.1550,0.2344,0.6400,0.1435
XGB — SMOTE,Exp-2 SMOTE,0.9217,0.1250,0.1000,0.1111,0.7867,0.1671,0.0591,0.0454,0.0439,0.0400,0.2383,0.5600,0.1514
LR — ADASYN,Exp-3 ADASYN,0.7534,0.1393,0.7800,0.2364,0.8442,0.2653,0.1621,0.0411,0.0421,0.8350,0.3577,0.4400,0.3014
SVM — ADASYN,Exp-3 ADASYN,0.8258,0.1235,0.4200,0.1909,0.7797,0.1780,0.1027,0.0441,0.0444,0.5500,0.2428,0.4200,0.1707
XGB — ADASYN,Exp-3 ADASYN,0.9305,0.2000,0.1400,0.1647,0.7909,0.1738,0.0575,0.0459,0.0439,0.0900,0.2367,0.4000,0.1681
LR — Tuned,Hyper Tuned,0.7348,0.1353,0.8200,0.2323,0.8426,0.3000,0.1689,0.0410,0.0411,0.8400,0.3717,0.4200,0.3333
SVM — Tuned,Hyper Tuned,0.7446,0.1349,0.7800,0.2301,0.8476,0.2823,0.1562,0.0411,0.0429,0.8350,0.3731,0.5000,0.2976
RF — Tuned,Hyper Tuned,0.6957,0.1195,0.8200,0.2087,0.8316,0.2419,0.1681,0.0424,0.0431,0.6600,0.3282,0.6400,0.2207
XGB — Tuned,Hyper Tuned,0.9295,0.2800,0.2800,0.2800,0.8407,0.2663,0.0909,0.0407,0.0420,0.4450,0.3613,0.5600,0.2667
MLP (BCE),Deep Learning,0.9511,0.0000,0.0000,0.0000,0.8372,0.2364,,,,,,,
MLP (Weighted BCE),Deep Learning,0.7456,0.1354,0.7800,0.2308,0.8390,0.2693,,,,,,,
MLP (Focal),Deep Learning,0.9511,0.0000,0.0000,0.0000,0.8407,0.2431,,,,,,,
