feature,mean_abs_lime,rank_lime
age,0.11303073321752458,1
bmi,0.063339820110675,2
bmi_missing,0.0629130147900225,3
hypertension,0.03827336945172711,4
heart_disease,0.02397467737653901,5
work_type_children,0.022751347762498843,6
ever_married_No,0.014889828197850773,7
work_type_Govt_job,0.014877603397988794,8
avg_glucose_level,0.014459553964909383,9
work_type_Never_worked,0.0141604781906976,10
smoking_status_smokes,0.013779342542083049,11
smoking_status_Unknown,0.013593252759312861,12
work_type_Private,0.012572747895078317,13
gender_Female,0.012520644489285448,14
work_type_Self-employed,0.012452870004303902,15
smoking_status_formerly smoked,0.011459755602952275,16
ever_married_Yes,0.011053020816449472,17
Residence_type_Urban,0.011016685598909191,18
gender_Male,0.010313931810138708,19
smoking_status_never smoked,0.00949072918499991,20
Residence_type_Rural,0.009186494596667509,21
gender_Other,0.0011313275920147002,22
