feature,mean_imp,std_imp,rank_perm
age,0.16450640485456555,0.015743445007442857,1
avg_glucose_level,0.029194189578576713,0.012149356029209806,2
heart_disease,0.024546452556243232,0.0064913867100778585,3
bmi,0.010339824151583119,0.015360676677183481,4
work_type,0.00795523508943726,0.006834645379345308,5
smoking_status,0.005147946443959442,0.009542479924728486,6
gender,0.0029730142100799052,0.001293672213477761,7
Residence_type,0.0009459957383375934,0.00463434389275363,8
ever_married,-0.0022709600619237854,0.006084394406733847,9
hypertension,-0.0027280307292671586,0.008383404008419552,10
bmi_missing,-0.0060613706547225895,0.0198242167602522,11
