Feature,Mean |SHAP|
age,1.5727
avg_glucose_level,0.1104
hypertension,0.0791
work_type_Private,0.0722
smoking_status_never smoked,0.0717
work_type_Self-employed,0.0663
bmi,0.0661
work_type_children,0.0497
ever_married_Yes,0.0496
smoking_status_smokes,0.0496
smoking_status_formerly smoked,0.0444
ever_married_No,0.0424
Residence_type_Urban,0.0380
Residence_type_Rural,0.0301
smoking_status_Unknown,0.0276
gender_Female,0.0231
work_type_Govt_job,0.0194
heart_disease,0.0192
gender_Male,0.0123
gender_Other,0.0000
work_type_Never_worked,0.0000
